label,article
<G>,"""Annie must like Starbucks because all white girls like Starbucks."""
<G>,"""The two courses I took at UF were not very interesting. I don't think its a good university."""
<G>,"If you eat a good diet, you will never have a heart attack."
<G>,"MeowMeowTweet is American-made skincare. I used it, and it gave me zits. American-made skincare gives people acne."
<G>,"All teachers drink coffee and teachers are people; therefore, all people drink coffee."
<G>,We think this new MallTime game app will be a success because all girls like shopping.
<G>,"I was just on the phone with a Southerner, and I could barely keep up! All Southerners talk fast."
<G>,"""That new home looks great! Let's buy it!"""
<G>,"“Birds can fly; therefore, penguins can fly.”"
<G>,"Mrs. Miller taught your older brother, who was the class clown. She decides to be strict with you from the very first day of class because she thinks you will be a clown, too."
<G>,"""You shouldn't go to 'Vomito' I went once and the food was awful."" is"
<G>,"I've only read a couple pages of this book, and I've already found a typo. There's no way I'm reading the rest of this garbage."
<G>,Christine has a terrible experience with a boyfriend. She decides that all boys are mean.
<G>,We think that Malltime will be a success because all little girls like shopping.
<G>,"My roommate from Maine loves lobsters, therefore all people from Maine love lobsters."
<G>,I met a rude person from France yesterday. I guess all French people are rude.
<G>,"“Because young male drivers are twice as likely to get into a car accident, they should pay more for car insurance.”"
<G>,"Four out of five dentists recommend Happy Glossy Smiley toothpaste brand. Therefore, it must be great."
<G>,"to define a person based on faulty opinions derived by judgments made about a group, a class, or race of people"
<G>,All dogs go to heaven.
<G>,1 = a number; 2 = a number; therefore 1 = 2.
<G>,Pre-AP kids are smart and creative.
<G>,"If you get in a car wreck, and the fault of the wreck is a teenage boy at ECR, believing all teenage boys at ECR are bad drivers is an example of:"
<G>,"There are no good restaurants in New York; I tried two in Times Square, and they were awful."
<G>,"""Everyone wants to be an English teacher."""
<G>,"My parents are democrats, and they are good people. Therefore, all democrats must be good people."
<G>,I can tell this movie is going to be terrible; the opening credits aren't even over yet!
<G>,"Trying to finish a marathon is impossible, I know because I tried it once."
<G>,"My dog got sprayed by a skunk this morning on the trail; therefore, trail running is dangerous."
