label,article
<WCB>,"""You're not feeling well because you use your phone so much."""
<IR>,"Steve: In Sweden, college is free for citizens. How come we can't do that here?

Ed: If you like Sweden so much, move there. The USA would be glad to be rid of your liberal ass!"
<FE>,We either ban hairspray or the world will end.
<IR>,"“Oh, please. What would you know about labor laws? You don’t even have a job.”"
<G>,"If I don’t take this A.P. class, then I won’t do well on the exam. If I don’t do well on the A.P. exam, then I can’t get into a good college. If I can’t get into a good college, then I’ll never get a good job. If I can’t get a good job, then I’m going to have to live in my parents’ basement forever. Guess I’ll sign up for the A.P. class."
<IR>,"Maria has been working at her current job for more than 30 years at the same wage. She desperately wants a raise so she approaches her boss to ask for one. She says, ""You are one of the kindest people I know. You are smart and good-looking and I really love your shoes."""
<FE>,"“Are you going to do well in school, or are you going to succeed as a cadet?”"
<IR>,"In the race for mayor, Lara says a vote for her opponent will lead to you losing your job. What fallacy has she committed?"
<G>,"After I listened to the first song of my favorite musician’s new vinyl record, I knew I’d hate the entire record, so I converted it into a Frisbee."
<IR>,"company's slogan ""Expect More. Pay Less."""
<WCB>,"A rainbow appeared in the sky the day before basketball tryouts, and I made the team! If there's a rainbow when I try out in the spring, I'm sure I'll make the team again."
<G>,My mom says that most tourist from France are rude. She had to wait on one the other day and the lady threw her pancakes on the ground because they were not big enough.
<IR>,That parking attendant who gave me a ticket is as bad as Hitler.
<IR>,"Gertrude: I am tired of having to fill out these forms all day. Can't we find a more efficient system?
Cindy-Lou: If you're not happy with the way we do things, we can find someone who is!
"
<DEP>,Historians agree that studying the past is the best way to avoid repeating mistakes.
<IR>,"You ask your mother if you can go to the mall with your friends. She says ""no"". You ask why? She says, ""because I'm the mom and I say so"". This is an example of which logical fallacy?"
<IR>,"Evolution cannot be true. If it were true, we’d all be smelly apes."
<FE>,You can either start using plastic straws or continue killing ocean life with plastic pollution.
<IR>,"Mob of people: Lower taxes! Lower taxes!

Politician: People, your taxes are high because of illegal immigrants. That's right—illegal immigrants. We need to get rid of them.

Mob of people: (murmuring amongst themselves) Hmmm... immigrants. Let's get rid of them!"
<G>,My job interview did not go well. I'll never get a job.
<FE>,"When a statement falsely claims or assumes an ""either / or"" situation, when in fact there is at least one additional logically valid option, it is called..."
<RR>,"President Bennett is an effective communicator, because he has a natural talent for speaking with people.
against"
<IR>,"My opponent in this debate wants all of you to increase taxes for a recycling program, but his own company has been fined over a dozen times for pollution and environmental damage."
<IR>,"Speaker 1: No fault divorce has proven to be detrimental to society and the family.
Speaker 2: You didn’t seem to think that when you got divorced."
<G>,"First we handed out I-pads, now we use Quizizz, next we'll have robot subs!"
<IR>,Trans fats are as bad as biological weapons.
<IR>,"Jack: You should stop smoking - it's bad for you.
Jill: Look who's talking! You smoke three packs a day!"
<RR>,Taco is the best because it tastes better.
<G>,"Supreme Court Justice Byron White was an All-American football player while in college, so how can you say that athletes are dumb?"
<IR>,"My opponent in this election claims to have the best interests of our community at heart. However, he is separated from his family. Isn’t family the basic unit of society? How can we entrust the concerns of the community to someone who was not able to keep his family together?"
<G>,"Miller Lite is cheap beer, so the Guinness will be cheap, too"
<FE>,"Subscribe to our streaming services, or get stuck with cable!"
<FU>,"Cathy is opposed to social media because she would rather have a face-to-face conversation. However, more and more of Cathy's friends have joined social media sites, so Cathy feels like she needs to create an account as well."
<G>,"The spider that bit was poison, therefore all spiders are poison."
<WCB>,"When sales of hot chocolate go up, street crime drops."
<WCB>,Believing that the cause of the Reformation was simply Martin Luther posting his theses
<IR>,"Our colleague, Doctor Χ, is too young and inexperienced; we could do without his advice."
<IR>,"The ideas from that member of the club are wrong, but he isn’t actually a true member of the club so his ideas do not matter."
<WCB>,"The economy grows as the number of likes on my Instagram account continue to increase. Clearly, the two are linked."
<G>,Allowing abortion in the first week of pregnancy would lead to allowing it in the ninth month
<G>,"Jack is a good athlete. Jack comes from Canada. Therefore, all Canadians are good athletes."
<FU>,Aliens must exist because most people believe in them.
<IR>,"Luke didn't want to eat his sheep's brains with chopped liver and brussel sprouts, but his father told him to think about the poor, starving children in a third world country who weren't fortunate enough to have any food at all."
<IR>,"Sure, we haven't given raises to our employees in more than ten years. However, we do pride ourselves on providing customer service in over seven different languages."
<FU>,"Makes the claim that EVERYONE is using this product, and you should, too."
<FU>,Let’s go buy the iPhone X in spite of the $999 price tag--all of our friends have one already!
<RR>,"My new method of conducting meta-analyses is the most valid there is because it is the only one capable of such validity, the only one that has ever approached such validity, and the only one that is so completely valid."
<IR>,"The car was built with cheap parts, so it only goes to show that the car will fall apart."
<IR>,"If you don't buy the black pencils, you will get made fun of. You will not be chosen for group projects."
<WCB>,Jimmy isn't at school today. He must be on a family trip.
<WCB>,"Utah passed a strict gun-control law, and crime there decreased. Therefore, gun-control laws decrease crime."
<FU>,"taps into people's desire to belong to a group. ""Everyone else is doing it!"""
<IR>,"When your parent asks you why you have a bad grade in math class, and you answer, ""All teachers are the enemy!"""
<RR>,Students should not be allowed to park in lots now reserved for faculty because those lots should be for faculty only.
<IR>,"Dad drank at parties, too"
<IR>,Students who want cell phones in school have no idea what they're talking about.
<FU>,"A fallacy which assumes that because something is popular, it is therefore good, correct, or desirable."
<IR>,"Braden, you drive a beat-up car from the 1980s. For this reason, we can never allow you to be a lifeguard at the community pool."
<IR>,"Radio talk show host, on learning that an association of critical thinking professors had suggested his show as a source of fallacious reasoning: “Who are these people? They talk to maybe 30 people at a time. I talk to 5 million people every day. They could not begin to do what I do. They are just gnats flying around getting in the way.”"
<RR>,"You must obey the law, because it's illegal to break the law."
<IR>,"If there is no freewill, then we are not ultimately in control of our actions. If this is true, our entire system of justice would be seriously flawed. This would be very bad; therefore, freewill must exist."
<FE>,"At a recent cocktail party, the conversation has turned to family pets, and your friend asks you “Are you a cat or a dog person?"""
<RR>,"""Running a marathon is very tiring because it is so exhausting."""
<IR>,"Of course, your minister says he believes in God.  He would be unemployed otherwise."
<IR>,"Mrs. Collier, we can't take a quiz tomorrow! The new season of Game of Thrones premieres tonight!!"
<RR>,You have to invite Jenna to your party because it would not be nice not to invite Jenna.
<IR>,", tax relief instead of tax cut, or death tax instead of estate tax)"
<IR>,I have been accused of using an ad hominem approach in trying to defend my research. But those who attack me and my research are also using ad hominem. And they started it!
<IR>,"Argues that ""we've always done it that way."" In other words, because something worked in the past, it is the correct thing to do."
<FE>,"I thought you cared about other people, but I didn't see you at the fundraiser for the Children's Hospital ..."
<IR>,A parent who says that the teacher doesn't know how to teach because she graduated from a community college.
<IR>,"Everyone in our family has gone to the University of Tennessee, so you need to apply to UT."
<RR>,"Pamela never lies. She told me herself, so it must be true."
<G>,"Atoms are colorless. Cats are made of atoms, so cats are colorless"
<DEP>,"But professor, I got all these facts from a program I saw on TV once... I don’t remember the name of it though."
<IR>,"You call your cell phone provider to complain about how poor your cell phone battery life is after the recent software update. The representative, instead of responding to your concern, praises the provider’s new unlimited text-messaging plans that are due to be released in the next month."
<WCB>,"“President Jones raised taxes, and then the rate of violent crime went up. Jones is responsible for the rise in crime."""
<IR>,We cannot approve of this recycling idea. It was thought of by a bunch of hippie communist weirdos.
<G>,"""Our planet is going to be destroyed! People are creating too much waste, the temperature will continue to rise, natural disasters will occur more frequently, the animals will starve to death, and the planet will basically turn into Venus!"""
<RR>,"“We must accept the traditions of the men of old time who affirm themselves to be the offspring of the gods - that is what they say - and they must surely have known their own ancestors. How can we doubt the word of the children of the gods?” - Plato, Timaeus"
<IR>,That answer you just gave cannot be right because you are always so rude.
<G>,All women care about are their looks.
<G>,All people who live in England have bad teeth.
<G>,"Southerners talk fast. I was just on the phone with one, and I could barely keep up!"
<FU>,"the phrase ""Ninety percent of all people surveyed said that McDonalds is better than Burger King so it must be true."" represents which fallacy?"
<FU>,"Last week, the Cowboys played the Texans in Houston. Mrs. Gibson was excited to go to the game because she is a huge Cowboys fan. Because everyone in Houston cheers for the Texans, Mrs. Gibson decided to cheer for the Texans too."
<IR>,Give me liberty or give me death
<WCB>,"""It rained and we lost the game. Every time it rains, we are going to lose."""
<IR>,"By rejecting God, you are rejecting goodness, kindness, and love itself."
<WCB>,"""I drank bottled water and now I am sick, so the water must have made me sick.""

What logical fallacy is used in the statement above?"
<WCB>,Students are poor writers because they watch too much TV
<WCB>,"The rooster crows always before the sun rises, therefore the crowing rooster causes the sun to rise."
<RR>,"I am athletic because I run, and I run because I'm athletic."
<G>,"I know three redheads who have terrible tempers, and since Annabel has red hair, I’ll bet she has a terrible temper too."
<FU>,This type of ad taps into a person's desire to be part of a group.
<G>,"If you don't study, you'll fail your test. Then you will do poorly in the class and you GPA will fall. You won't get into a good college, so you'll never get a decent job and you'll end up poor and homeless."
<G>,People who learn from their mistakes don't repeat them.
<FU>,Everyone does it.  You should too.
<G>,"If we let the government implant tracking devices in criminals, it's not going to stop there! They're going to want to track us at work, our school children, and then eventually everyone!"
<G>,Delores is a big supporter for equal pay for equal work.  This is the same policy that all those extreme feminist groups support.  Extremists like Delores should not be taken seriously -- at least politically.
<G>,When someone says that what is true of something as a whole must also be true of each of its parts.
<RR>,That restaurant is popular because everyone in town goes there.
<FU>,I am voting for Smith for President because the rest of my family is voting for him.
<IR>,"""I'm French and I don't like cheese.""
""All French like cheese.""
""I don't.""
""Then you must not really be French."""
<G>,"My parents are vegetarians, and they are good people. Therefore, all vegetarians must be good people."
<FU>,"Most people think the world is flat, therefore it is flat."
<FE>,"Either we accept the findings of this study demonstrating that this new intervention is the best to be used for this disorder, or we must no longer call ourselves scientists, psychologists, or reasonable people."
<FE>,"""Be my friend or be my enemy."""
