label,article
<G>,No one in your family surfs? But I thought you said you lived in California before this.
<FU>,I guess I should buy my 14 year old a new iPhone since everyone at her school has one.
<DEP>,"Whatever happens by chance should be punished, because whatever happens by chance is a departure from law and all departures from law should be punished.

Identify the logical fallacy commited in this argument."
<IR>,"Oprah Winfrey's diet advice is useless;  she has had problems with maintaining her weight for most of her life, bouncing back and forth between being overweight and slender."
<IR>,The senator voted for the tax increase. It's not hard to understand why when you consider that he is a millionaire and has never had to worry about money.
<WCB>,"""Every time my sister uses hairspray, it is an extremely hot day"" is an example of"
<IR>,"My philosophy professor believes in ghosts and goes to séances. She’s an intelligent, educated, person, so ghosts must be real, and spiritualism must be true."
<IR>,There's no point listening to you. Everybody knows you're just a little do-gooder.
<IR>,"Jack: I have tiny, invisible unicorns living in my anus.
Nick: How do you figure?
Jack: Can you prove that I don't?
Nick: No.
Jack: Then I do.
"
<G>,You have a friend who claims that cats like to go to windows and watch sunsets because that is what her cats does. What fallacy has she committed?
<WCB>,"The flu vaccine comes out every year just before the holidays, then people go and spend a lot of money. Therefore, businesses are secretly using the flu vaccine as a mind control device to increase holiday spending."
<FE>,"If Mom didn't turn off the air conditioner, then clearly she must be too hot."
<IR>,"Calling Senator Warren ""Pocahontas,"" instead of debating her ideas on cancelling student loan debt is an example of:"
<FE>,Pay taxes or go to jail
<WCB>,"The Church used to claim that giving 10% of your income to the Church will free a child’s soul from Limbo into Heaven, so clearly giving money to the Church is a scam!"
<G>,Some teenagers in our community recently vandalized the park downtown. Teenagers are so irresponsible and destructive.
<IR>,"“I really deserve an “A” on this paper, professor. Not only did I study during my grandmother’s funeral, but I also passed up the heart transplant surgery, even though that was the first matching donor in 3 years.”"
<IR>,"When your mom gets your phone bill and you have gone over the limit, you begin talking to her about how hard your math class is and how well you did on a test today."
<IR>,"So many people are speaking up about animal rights, but what they should first focus on is human rights."
<IR>,"One pill is good, two will be better"
<IR>,"Since Dwayne Johnson (aka The Rock) endorsed this protein powder, it must work wonders."
<IR>,I am only slightly obese.  That is perfectly normal here in America.
<FU>,"Vietnam War—America, love it or leave it"
<G>,Happy families make happy children.
<G>,French people are great at kissing.  Julie is French.  Get me a date!
<IR>,Skipping looking for a second opinion or evidence and just asking one doctor is what fallacy?
<IR>,"Charlie: Fast food is filled with salt, fat, and added sugars. We need better regulation of the industry.
Bob: That may be, but you’re such a hypocrite! I saw you devour a Triple-Baconator, super-sized fries, and 64 ounces of soda yesterday."
<FE>,"Either you decide that you can afford this stereo, or decide not to have music for a while"
<IR>,“The purpose of the Cadet Program is to prepare youth for Air Force Basic Military Training.” REPLY: “This is true because I heard it from the Wing Commander.”
<IR>,"Mining may destroy the environment, but how about the people whose jobs will be affected? Should we ban it?"
<IR>,"How can you tell me I should exercise to lose weight? All you do is sit behind a desk all day. I've never seen you do a lick of exercise.

Identify the logical fallacy commited in this argument."
<FU>,We now produce the best program in existence; four thousand businesses subscribe to our program.
<IR>,"""You should never break traffic laws.""
""Who are you to speak? You've gotten over fifteen speeding tickets!"" What is this?"
<IR>,"Hi, I’m Troy McClure. You might remember me from such films as The Day the Peacock Died. After filming scenes with feathered co-stars all day, there’s nothing I enjoy more than a bucket of Buster’s Chicken. It’s chickentastic!"
<G>,My brother Humza eats cheeseburgers and pizza. He is thin. Cheeseburgers and pizza aren’t the cause of obesity.
<G>,"""Even though it's only the first day, I can tell this is going to be a boring course."""
<G>,All required university courses are boring.
<IR>,We can't believe what he says out of that ugly mouth of his.
<IR>,Did the pollution you caused increase or decrease your profits?
<IR>,"Bill: ""I believe that Obamacare is wrong."" Dave: ""Of course you would say that, you're a Republican."" Bill: ""What about the arguments I gave to support my position?"" Dave: ""Those don't count. Like I said, you're a Republican, so you have to support the party line. Further, you are just a lapdog to the Republican incumbent so you can get a job , so I can't believe what you say."""
<IR>,Ms. Baker assigned me a lot of homework because she’s a witch!
<G>,Science fiction books are not worth the time it takes to read them.
<IR>,"Earl: Men don't cry
Jaquon: I cry all the time; it's healthy
Earl: Well, REAL men don't cry.
Jaquon: Earl, you should invest in some therapy.
Earl: Los hombres no lloran
Jaquon: lloro todo el tiempo; Es saludable
Earl: Bueno, los hombres REALES no lloran.
Jaquon: Earl, deberías invertir en terapia."
<G>,Saying that men don't ever ask for directions
<G>,"My father smoked four packs of cigarettes a day since age fourteen and lived until age sixty-nine. Therefore, smoking really can’t be that bad for you."
<IR>,“How can you argue your case for vegetarianism when you are enjoying your steak?”
<IR>,"Billy - ""Spanish is easy."" Bobby - ""Don't listen to Billy; he failed Spanish class last year. """
<RR>,"""All eighteen-year-olds have the right to vote because it's legal for them to vote."""
