updated_label,source_article
faulty generalization,"""Annie must like Starbucks because all white girls like Starbucks."""
faulty generalization,"It is warmer this year in Las Vegas as compared to last year; therefore, global warming is rapidly accelerating."
faulty generalization,"""The two courses I took at UF were not very interesting. I don't think its a good university."""
faulty generalization,A driver with a New York license plate cuts you off in traffic. You decide that all New York drivers are terrible drivers.
faulty generalization,"""Four out of five dentists recommend Happy Glossy toothpaste. Therefore, it must be great."""
faulty generalization,No one in your family surfs? But I thought you said you lived in California before this.
faulty generalization,All women are bad drivers.
faulty generalization,You visit a new country and the first person you meet in the airport is rude. You send a message to a friend back home that everyone in this new country is rude.
faulty generalization,Kevin's grandparents do not know how to use a computer. Kevin thinks that all older people must be computer illiterate.
faulty generalization,Saying that men don't ever ask for directions
faulty generalization,"If you eat a good diet, you will never have a heart attack."
faulty generalization,Everyone knows that teenagers are lazy
faulty generalization,"MeowMeowTweet is American-made skincare. I used it, and it gave me zits. American-made skincare gives people acne."
faulty generalization,"All teachers drink coffee and teachers are people; therefore, all people drink coffee."
faulty generalization,All four year olds talk too much.
faulty generalization,I met a tall man who loved to eat cheese. Now I believe that all tall people like cheese.
faulty generalization,"I know three redheads who have terrible tempers, and since Annabel has red hair, I’ll bet she has a terrible temper too."
faulty generalization,We think this new MallTime game app will be a success because all girls like shopping.
faulty generalization,People from big cities are not as friendly as those from small towns.
faulty generalization,My brother Humza eats cheeseburgers and pizza. He is thin. Cheeseburgers and pizza aren’t the cause of obesity.
faulty generalization,"“My roommate Fatima said her philosophy class was hard, and the one I’m in is hard, too. All philosophy classes must be hard!” Insisted Baneen."
faulty generalization,"I was just on the phone with a Southerner, and I could barely keep up! All Southerners talk fast."
faulty generalization,I have several female friends and every one of them loves country music. All females love country music.
faulty generalization,"That type of car is poorly made; a friend of mine has one, and it continually gives him trouble."
faulty generalization,Everyone loves Post Malone and can name at least one of his songs! (This is an example of...)
faulty generalization,"""That new home looks great! Let's buy it!"""
faulty generalization,"Jeff is preparing to create a commercial for a new energy drink. He visits a local high school and surveys students in an English class about their beverage preferences. The majority of the class says they prefer grape flavored drinks, so Jeff tells his superiors that grape is the flavor favored most by high school students. What error in reasoning has Jeff made?http://www.funtrivia.com"
faulty generalization,We think this new MallTime game app will be a success because all little girls like shopping.
faulty generalization,"I saw a student texting in my class yesterday; all my students must be texting, so cell phones should be banned."
faulty generalization,“The two courses I took at Harvard were not very interesting. I don't think it is a good university.”
faulty generalization,"“Birds can fly; therefore, penguins can fly.”"
faulty generalization,I can't understand why people are complaining that it's difficult to find a job in this job market. My daughter and I got jobs without any trouble.
faulty generalization,"On my walk to work this morning, a woman on her bike nearly ran me off the sidewalk. I hadn't realized that cyclists were so aggressive and rude!"
faulty generalization,"Even without watching the movie, I just know that it would not be as good as the book."
faulty generalization,"“Pain-Away worked for me, so it’s sure to work for you, too.”"
