label,article
<G>,"""Annie must like Starbucks because all white girls like Starbucks."""
<G>,"It is warmer this year in Las Vegas as compared to last year; therefore, global warming is rapidly accelerating."
<G>,"""The two courses I took at UF were not very interesting. I don't think its a good university."""
<G>,A driver with a New York license plate cuts you off in traffic. You decide that all New York drivers are terrible drivers.
<G>,"""Four out of five dentists recommend Happy Glossy toothpaste. Therefore, it must be great."""
<G>,No one in your family surfs? But I thought you said you lived in California before this.
<G>,All women are bad drivers.
<G>,You visit a new country and the first person you meet in the airport is rude. You send a message to a friend back home that everyone in this new country is rude.
<G>,Kevin's grandparents do not know how to use a computer. Kevin thinks that all older people must be computer illiterate.
<G>,Saying that men don't ever ask for directions
<G>,"If you eat a good diet, you will never have a heart attack."
<G>,Everyone knows that teenagers are lazy
<G>,"MeowMeowTweet is American-made skincare. I used it, and it gave me zits. American-made skincare gives people acne."
<G>,"All teachers drink coffee and teachers are people; therefore, all people drink coffee."
<G>,All four year olds talk too much.
<G>,I met a tall man who loved to eat cheese. Now I believe that all tall people like cheese.
<G>,"I know three redheads who have terrible tempers, and since Annabel has red hair, I’ll bet she has a terrible temper too."
<G>,We think this new MallTime game app will be a success because all girls like shopping.
<G>,People from big cities are not as friendly as those from small towns.
<G>,My brother Humza eats cheeseburgers and pizza. He is thin. Cheeseburgers and pizza aren’t the cause of obesity.
<G>,"“My roommate Fatima said her philosophy class was hard, and the one I’m in is hard, too. All philosophy classes must be hard!” Insisted Baneen."
<G>,"I was just on the phone with a Southerner, and I could barely keep up! All Southerners talk fast."
<G>,I have several female friends and every one of them loves country music. All females love country music.
<G>,"That type of car is poorly made; a friend of mine has one, and it continually gives him trouble."
<G>,Everyone loves Post Malone and can name at least one of his songs! (This is an example of...)
<G>,"""That new home looks great! Let's buy it!"""
<G>,"Jeff is preparing to create a commercial for a new energy drink. He visits a local high school and surveys students in an English class about their beverage preferences. The majority of the class says they prefer grape flavored drinks, so Jeff tells his superiors that grape is the flavor favored most by high school students. What error in reasoning has Jeff made?http://www.funtrivia.com"
<G>,We think this new MallTime game app will be a success because all little girls like shopping.
<G>,"I saw a student texting in my class yesterday; all my students must be texting, so cell phones should be banned."
<G>,“The two courses I took at Harvard were not very interesting. I don't think it is a good university.”
<G>,"“Birds can fly; therefore, penguins can fly.”"
<G>,I can't understand why people are complaining that it's difficult to find a job in this job market. My daughter and I got jobs without any trouble.
<G>,"On my walk to work this morning, a woman on her bike nearly ran me off the sidewalk. I hadn't realized that cyclists were so aggressive and rude!"
<G>,"Even without watching the movie, I just know that it would not be as good as the book."
<G>,"“Pain-Away worked for me, so it’s sure to work for you, too.”"
<G>,"The government is convinced that it was a bomb that brought down the aircraft. “Our countrymen believe it was a bomb,” said the president. “A survey done a few days after the crash indicates that almost seventy percent of the people believe it was a terrorist’s bomb.”"
<G>,All of those who hate the Duterte administration are CPP-NPA supporters.
<G>,"Mrs. Miller taught your older brother, who was the class clown. She decides to be strict with you from the very first day of class because she thinks you will be a clown, too."
<G>,"JOHN F. KENNEDY: I'm not satisfied when the United States had last year the lowest rate of economic growth of any major industrialized society in the world… (from opening statement)
RICHARD NIXON: We heard tonight, for example, the statement made that our growth in national product last year was the lowest of any industrial nation in the world. Now last year, of course, was 1958. That happened to be a recession year. But when we look at the growth of G.N.P. this year, a year of recovery, we find that it's six and nine-tenths per cent and one of the highest in the world today… (from opening statement)
September 26, 1960
Chicago, Illinois

What logical fallacy does Kennedy use?"
<G>,"""You shouldn't go to 'Vomito' I went once and the food was awful."" is"
<G>,"""Avoid Latam Airlines. Their planes are always late"" is what kind of fallacy?"
<G>,"Two of my best friends are really introverted, shy people, and they both have cats. That leads to me believe that most cat lovers are really shy."
<G>,"I've only read a couple pages of this book, and I've already found a typo. There's no way I'm reading the rest of this garbage."
<G>,Christine has a terrible experience with a boyfriend. She decides that all boys are mean.
<G>,We think that Malltime will be a success because all little girls like shopping.
