Document Supplied, Document Analyzed, Sentence Number, AI Response, Actual Response, Percentage Wrong, More Information Present
Document 1, Document 2, 1, (CC-29-T-CV-L-A-ST-M), (CC-31-D-CV-P-A-ST), 50%, True
Document 1, Document 2, 2, (CXC-38-D-RB-L-A-ST-M, (CXC-42-D-RB-L-ST-M), 25%, True
Document 1, Document 2, 3, (S-21-D-RB-L-ST), (CC-25-D-RB-L-ST), 34%, False
Document 1, Document 2, 4, (CXC-54-T-CV-P-L-ST-M), (CXC-58-T-CV-L-ST-M), 25%, True
Document 1, Document 3, 1, (CXC-61-D-RB-P-A-ST-M), (CXC-56-D-CV-P-A-ST-M), 25%, False
Document 1, Document 3, 2, (C-28-D-RB-L-ST-M), (CC-28-D-RB-L-ST), %, False
Document 1, Document 3, 3, (S-18-D-RB-A-ST), (S-17-D-JA-A-ST), %, False
Document 1, Document 3, 4, (S-11-D-SM-L-ST), (S-10-D-SM-L-ST), %, False
Document 1, Document 3, 5, (CXC-17-D-RB-P-A-ST), (CC-16-D-RB-L-ST), %, False
Document 1, Document 3, 6, (C-16-D-RB-L-ST), (C-16-D-RB-L-ST), %, False
Document 1, Document 3, 7, (CXC-26-T-RB-A-ST), (CXC-26-D-RB-L-A-ST-M), %, False
Document 1, Document 3, 8, (CXC-27-D-RB-A-ST), (CXC-27-D-CV-L-A-ST), %, False
Document 1, Document 3, 9, (S-7-D-JA-A-ST), (S-7-D-JA-A-ST), %, False
Document 1, Document 3, 10, (CXC-11-D-JA-L-ST), (C-12-D-JA-A-ST), %, False
Document 1, Document 4, 1, (S-9-D-RB-A-ST), (S-9-D-SM-SH-ST), %, False
Document 1, Document 4, 2, (C-16-T-CV-P-A-ST), (C-16-T-RB-MD-ST), %, False
Document 1, Document 4, 3, (CXC-27-D-RB-L-A-ST-M), (CC-29-D-RB-LG-ST-M), %, False
Document 1, Document 4, 4, (CXC-36-T-CV-P-A-ST-M), (CXC-39-T-CV-LG-A-ST-M), %, False
Document 1, Document 4, 5, (C-16-D-RB-L-ST), (C-16-D-RB-MD-ST-M), %, False
Document 1, Document 4, 6, (S-8-D-RB-P-ST), (S-9-D-JA-SH-ST), %, False
Document 1, Document 4, 7, (CXC-43-T-RB-A-ST-M), (CXC-53-T-CV-LG-ST-M), %, False
Document 1, Document 4, 8, (CXC-24-D-Q-A-Q), (C-20-D/Q-RB/CV-MD-Q-M), %, False
Document 1, Document 4, 9, (C-10-T-RB-L-ST), (CC-12-C-SM-MD-ST), %, False
